track_id,area_mm2,bbox_area_mm2,extent
24,0.769648,4.6668959999999995,0.164916466962195
52,2.093984,4.122416,0.5079506774668059
53,3.195024,5.4071679999999995,0.590886763644111
61,2.395984,4.26888,0.5612675924364237
62,5.10408,6.65016,0.7675123606048576
67,1.786736,3.2778240000000003,0.5450982114964074
68,1.9300640000000002,3.69408,0.5224748787248787
69,2.231504,3.3312960000000005,0.6698606188102169
70,2.734928,6.086352,0.4493542272941164
71,5.06312,7.39008,0.6851238416904823
77,1.802688,2.61072,0.6904945762088619
78,2.1712,3.61816,0.6000840206071595
79,3.0544000000000002,5.102496,0.5986089944999466
80,7.25272,10.03968,0.7224054949958565
81,1.0896320000000002,2.79296,0.3901351970669111
84,2.017888,4.0955200000000005,0.4927061765050592
85,2.6379040000000002,4.8565439999999995,0.5431648513840295
86,2.36568,3.629232,0.6518403893716357
87,2.9567680000000003,4.245088,0.6965151252459313
88,3.604736,5.4972,0.6557403769191589
89,7.7410879999999995,9.89952,0.7819659943108352
93,1.5490080000000002,3.428352,0.4518229166666667
94,2.2424160000000004,3.9008160000000003,0.5748581835185254
95,2.2666880000000003,4.035952,0.5616241223879769
96,2.487632,4.219648,0.5895354304434872
97,3.731216,5.59232,0.6672035934996566
98,7.41248,10.094,0.7343451555379433
